,Part_length,Carriageway width in m.,Year of construction /upgradation,Study Stretch Chainage,Avg Rain fall,Age of Pavement during Evalution Years ,MDD,OMC,LL,PL,PI,CBR,SCI,SN,MSN,CVPD,Actual PCI,evalution_year,evalution_month,evalution_quarter
0,0.6,3.75,2019.0,0.0,643.0,2.9,1.7,10.3,51.0,36.0,17.0,4.71,0.1,3.74,6.99,58.0,63.74,2022.0,2.0,1.0
1,0.6,3.75,2019.0,0.13,643.0,2.9,1.7,10.3,51.0,36.0,17.0,4.71,0.04,2.87,6.12,58.0,63.79,2022.0,2.0,1.0
2,0.6,3.75,2019.0,0.25,643.0,2.9,1.7,10.3,51.0,36.0,17.0,4.71,0.31,3.12,6.37,58.0,79.91,2022.0,2.0,1.0
3,0.6,3.75,2019.0,0.38,643.0,2.9,1.7,10.3,51.0,36.0,17.0,4.71,0.08,4.1,7.35,58.0,78.77,2022.0,2.0,1.0
4,0.6,3.75,2019.0,0.5,643.0,2.9,1.7,10.3,51.0,36.0,17.0,4.71,0.09,2.81,6.06,58.0,74.15,2022.0,2.0,1.0
5,0.6,3.75,2019.0,0.0,643.0,3.7,1.7,10.3,51.0,36.0,17.0,4.71,0.09,3.7,6.95,58.0,63.051271,2022.0,12.0,4.0
6,0.6,3.75,2019.0,0.13,643.0,3.7,1.7,10.3,51.0,36.0,17.0,4.71,0.04,2.88,6.13,58.0,62.272,2022.0,12.0,4.0
7,0.6,3.75,2019.0,0.25,643.0,3.7,1.7,10.3,51.0,36.0,17.0,4.71,0.3,3.1,6.35,58.0,78.53875615,2022.0,12.0,4.0
8,0.6,3.75,2019.0,0.38,643.0,3.7,1.7,10.3,51.0,36.0,17.0,4.71,0.09,4.0,7.25,58.0,78.45222181,2022.0,12.0,4.0
9,0.6,3.75,2019.0,0.5,643.0,3.7,1.7,10.3,51.0,36.0,17.0,4.71,0.09,2.8,6.05,58.0,73.35274581,2022.0,12.0,4.0
10,0.6,3.75,2019.0,0.0,643.0,4.1,1.7,10.3,51.0,36.0,17.0,4.71,0.1,3.7,6.95,67.0,63.36,2023.0,6.0,2.0
11,0.6,3.75,2019.0,0.13,643.0,4.1,1.7,10.3,51.0,36.0,17.0,4.71,0.04,2.87,6.12,67.0,62.08,2023.0,6.0,2.0
12,0.6,3.75,2019.0,0.25,643.0,4.1,1.7,10.3,51.0,36.0,17.0,4.71,0.31,3.12,6.37,67.0,76.36,2023.0,6.0,2.0
13,0.6,3.75,2019.0,0.38,643.0,4.1,1.7,10.3,51.0,36.0,17.0,4.71,0.08,4.1,7.35,67.0,77.88,2023.0,6.0,2.0
14,0.6,3.75,2019.0,0.5,643.0,4.1,1.7,10.3,51.0,36.0,17.0,4.71,0.09,2.78,6.03,67.0,72.24,2023.0,6.0,2.0
15,0.6,3.75,2019.0,0.0,643.0,4.6,1.7,10.3,51.0,36.0,17.0,4.71,0.1,3.6,6.85,67.0,62.62,2023.0,11.0,4.0
